n,T,method,mean_kernel_μs,std_kernel_μs
5100000,UInt8,Forge v4,18.76354217529297,0.19628348406519047
5100000,UInt8,Forge v8,12.183189392089844,0.17592067417445703
5100000,UInt8,CUDA,10.943412780761719,0.237090331557215
5200000,Float32,Forge v1,232.1481704711914,3.228300644512171
5200000,Float32,Forge v4,225.85391998291016,4.708456748156239
5200000,Float32,Forge v8,226.66454315185547,2.057257478041727
5200000,Float32,CUDA,230.21697998046875,3.893683526395076
5200000,UInt8,Forge v1,69.49901580810547,0.20261683120698867
5200000,UInt8,Forge v4,19.216537475585938,0.23033423020346067
5200000,UInt8,Forge v8,12.516975402832031,0.20261683120698867
5200000,UInt8,CUDA,11.134147644042969,0.160920276095999
5300000,Float32,Forge v1,237.34569549560547,3.0764312507066585
5300000,Float32,Forge v4,227.99968719482422,4.5265357753087185
5300000,Float32,Forge v8,231.95743560791016,2.3827283431203243
5300000,Float32,CUDA,233.5071563720703,3.3287651038485992
5300000,UInt8,Forge v1,70.7387924194336,0.160920276095999
5300000,UInt8,Forge v4,19.52648162841797,0.17592067417445703
5300000,UInt8,Forge v8,12.540817260742188,0.20105219905652233
5300000,UInt8,CUDA,11.25335693359375,0.2462376496764766
5400000,Float32,Forge v1,241.35112762451172,2.525812023253384
5400000,Float32,Forge v4,234.79461669921875,4.423148379243491
5400000,Float32,Forge v8,236.39202117919922,2.079244526537439
5400000,Float32,CUDA,238.87157440185547,4.087177218583221
5400000,UInt8,Forge v1,72.02625274658203,0.13533740334452313
5400000,UInt8,Forge v4,19.90795135498047,0.20261683120698867
5400000,UInt8,Forge v8,12.898445129394531,0.3267098234668488
5400000,UInt8,CUDA,11.372566223144531,0.19628348406519047
5500000,Float32,Forge v1,243.85452270507812,2.8295016787012797
5500000,Float32,Forge v4,238.7523651123047,5.754186292854774
5500000,Float32,Forge v8,241.2557601928711,1.9088381673095793
5500000,Float32,CUDA,243.73531341552734,3.4824169217918093
5500000,UInt8,Forge v1,73.33755493164062,0.16670367688658264
5500000,UInt8,Forge v4,20.28942108154297,0.2087581242968829
5500000,UInt8,Forge v8,13.089179992675781,0.17592067417445703
5500000,UInt8,CUDA,11.730194091796875,0.2462376496764766
5600000,Float32,Forge v1,251.12628936767578,2.948111046724249
5600000,Float32,Forge v4,243.44921112060547,4.0060155181291925
5600000,Float32,Forge v8,244.80819702148438,1.856333582643691
5600000,Float32,CUDA,248.69441986083984,3.0521096251938
5600000,UInt8,Forge v1,74.74422454833984,0.16858739404357612
5600000,UInt8,Forge v4,20.694732666015625,0.1880671114317454
5600000,UInt8,Forge v8,13.279914855957031,0.252568699233861
5600000,UInt8,CUDA,11.777877807617188,0.16670367688658264
